#aantal zonder_1 zonder_totaal met
1 1.0945105594582856 2.1741228599722184 1.048881189028422
10 1.2628631225631883 2.506636446202174 1.1664382775624593
20 1.3765478251501917 2.7412682005359477 1.3406856298446654
30 1.590780580183491 3.1241158882621676 1.4861724774042766
40 1.758528098417446 3.5375803837397446 1.8125444332758585
50 1.9986154280758153 3.995095640250171 1.9360750754674276
100 3.3816013037692754 6.766658243893955 3.0955759207407634
300 11.468626097744952 22.938796707987784 11.154693770408631
500 24.557079287075126 48.9623400086537 23.992996581395467
750 49.1120544138054 98.09712275758696 49.0278002500534
1000 80.71608748487196 160.55442646290174 80.05623857975006


#aantal zonder_1 zonder_2 met
#1 2.041720367005716 0.378947822128733
#10 2.7482753074727952 0.5216649352107197
#20 2.8267579082244385 0.5159177033696324
#30 3.1851058947077644 0.5377504036296159
#40 3.83666686527431 0.5495015659059087
#50 4.304924202462037 0.5216649352107197
#100 3.1936195532480878 3.2266796588897706 0.5290463292971254
#300 22.3726933099019 0.5623118169916173 11.15925833384196
#500 48.464852538565175 0.5910593326669187
#750 90.14130997507212 0.5602549072665473
#1000 157.9609019295002 0.500852175662294

#1dir_zonder: {300: 4.68820404746657, 50: 1.6201299980998252, 100: 2.077744163233486, 500: 8.758521753766642, 750: 15.481051597400073}
#
#1dir_met: 
